No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
1900 < 2000,clasCep,0,0,5,1,0,3,0,0,0,0,0,9
1900 < 2000,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
1900 < 2000,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
1900 < 2000,t2Cep,0,0,2,0,0,0,0,0,0,70,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3730,0,0,0,4,10,1,11,17,46,16,3835
200 < 300,OSARG,0,804,0,0,101,0,3,5,5,13,2,933
200 < 300,RRab,0,1,491,92,0,22,3,37,5,55,0,706
200 < 300,RRc,0,1,13,639,1,0,17,65,2,9,0,747
200 < 300,SRV,163,105,2,0,1149,111,78,476,393,999,216,3692
200 < 300,clasCep,0,0,4,3,0,626,64,20,0,36,3,756
200 < 300,clasOvertoneCep,0,0,0,3,3,30,391,6,0,2,0,435
200 < 300,contactBinary,0,0,15,14,0,7,4,1609,71,45,0,1765
200 < 300,detachedBinary,0,4,3,9,7,1,1,610,879,10,0,1524
200 < 300,t2Cep,0,0,6,3,2,28,6,36,9,735,0,825
200 < 300,t2RVTau,0,0,0,0,0,1,0,2,0,5,115,123
2000 < 2100,Mira,10,0,1,0,3,0,0,0,1,0,0,15
2000 < 2100,OSARG,0,10,0,0,2,0,0,0,0,0,0,12
2000 < 2100,RRab,0,0,62,12,0,0,0,0,0,0,0,74
2000 < 2100,RRc,0,0,0,88,0,0,0,0,0,0,0,88
2000 < 2100,SRV,0,1,0,0,6,0,0,0,0,0,0,7
2000 < 2100,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
2000 < 2100,detachedBinary,0,0,0,1,0,0,0,0,1,0,0,2
2000 < 2100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,30,0,0,0,0,0,0,0,0,0,0,30
2100 < 2200,OSARG,0,5,0,0,0,0,0,0,0,0,0,5
2100 < 2200,RRab,0,0,2,0,0,0,0,0,0,0,0,2
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2100 < 2200,SRV,0,4,0,0,1,0,0,0,0,0,1,6
2100 < 2200,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
2100 < 2200,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,19,2,0,0,3,0,0,0,0,0,0,24
2200 < 2300,OSARG,0,18,0,0,2,0,0,0,0,0,0,20
2200 < 2300,RRab,0,0,3,0,0,0,0,0,0,0,0,3
2200 < 2300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
