No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,0,1
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,7,0,0,2,0,0,0,0,0,0,0,9
2400 < 2500,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
2400 < 2500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
2400 < 2500,SRV,2,0,0,0,6,0,0,0,0,0,0,0,8
2400 < 2500,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,10,0,1,3,0,0,0,0,0,0,0,14
2500 < 2600,RRab,0,0,6,0,0,0,0,0,0,0,0,0,6
2500 < 2600,RRc,0,0,0,7,0,0,0,0,0,0,0,0,7
2500 < 2600,SRV,0,4,0,0,12,0,0,0,0,0,0,0,16
2500 < 2600,contactBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,3,0,0,0,3
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,50,0,0,1,0,0,0,0,0,0,0,51
2600 < 2700,RRab,0,0,1,1,0,0,0,0,0,0,0,0,2
2600 < 2700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
2600 < 2700,SRV,0,5,0,0,18,0,0,0,0,0,0,0,23
2600 < 2700,contactBinary,0,0,2,0,0,0,0,0,0,0,0,0,2
2600 < 2700,detachedBinary,0,0,2,0,0,0,0,0,0,0,0,0,2
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,328,0,0,0,2,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,458,0,0,39,0,0,0,0,0,0,0,497
2700 < 2800,RRab,0,0,2,0,0,0,0,0,2,0,0,0,4
2700 < 2800,RRc,0,0,0,7,0,0,0,0,0,0,0,0,7
2700 < 2800,SRV,4,34,0,0,369,0,0,0,0,0,0,0,407
2700 < 2800,contactBinary,0,0,0,0,0,0,0,5,0,0,1,0,6
2700 < 2800,detachedBinary,0,0,1,0,0,0,0,1,2,0,0,0,4
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,OSARG,0,15,0,1,1,0,0,0,0,0,0,0,17
2800 < 2900,RRab,0,0,3,2,0,0,0,0,0,0,0,0,5
